sep=,
Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Bhatt, A.N., Shrivastava, N.","57223269318;57198054579;","Application of Artificial Neural Network for Internal Combustion Engines: A State of the Art Review",2022,"Archives of Computational Methods in Engineering","29","2",,"897","919",,2,"10.1007/s11831-021-09596-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105404845&doi=10.1007%2fs11831-021-09596-5&partnerID=40&md5=b089d78875421659cb06497e3021320a",Review,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85105404845
"Ben Yahia, N., Dhiaeddine Kandara, M., Bellamine BenSaoud, N.","55308386900;57343402000;57343840800;","Integrating Models and Fusing Data in a Deep Ensemble Learning Method for Predicting Epidemic Diseases Outbreak",2022,"Big Data Research","27",,"100286","","",,,"10.1016/j.bdr.2021.100286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119274592&doi=10.1016%2fj.bdr.2021.100286&partnerID=40&md5=8766197dae9f6063c2e911a1b2b62416",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85119274592
"Bousquet, A., Conrad, W.H., Sadat, S.O., Vardanyan, N., Hong, Y.","36130088300;57193209155;57299378400;57464860300;54399855300;","Deep learning forecasting using time-varying parameters of the SIRD model for Covid-19",2022,"Scientific reports","12","1",,"3030","",,,"10.1038/s41598-022-06992-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125157105&doi=10.1038%2fs41598-022-06992-0&partnerID=40&md5=496f5f1eacf4102710b62a70cba5948f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85125157105
"Baydogan, C., Alatas, B.","57203224994;10341297500;","Deep-Cov19-Hate: A Textual-Based Novel Approach for Automatic Detection of Hate Speech in Online Social Networks throughout COVID-19 with Shallow and Deep Learning Models",2022,"Tehnicki Vjesnik","29","1",,"149","156",,,"10.17559/TV-20210708143535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122139625&doi=10.17559%2fTV-20210708143535&partnerID=40&md5=f613b024941f75bf8181f28386b30242",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85122139625
"Chen, H.-C., Prasetyo, E., Tseng, S.-S., Putra, K.T., Prayitno, Kusumawardani, S.S., Weng, C.-E.","57213623879;57163947900;7201711576;57188576880;57219541919;36809779800;20735920100;","Week-Wise Student Performance Early Prediction in Virtual Learning Environment Using a Deep Explainable Artificial Intelligence",2022,"Applied Sciences (Switzerland)","12","4","1885","","",,,"10.3390/app12041885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124532573&doi=10.3390%2fapp12041885&partnerID=40&md5=1672dcb1e61aaf3db93d04266e13cd8a",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85124532573
"Rahim, A., Maqbool, A., Mirza, A., Afzal, F., Asghar, I.","57222266926;57216201992;56905230600;56094716300;56039492700;","DepTSol: An Improved Deep-Learning- and Time-of-Flight-Based Real-Time Social Distance Monitoring Approach under Various Low-Light Conditions",2022,"Electronics (Switzerland)","11","3","458","","",,,"10.3390/electronics11030458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124364980&doi=10.3390%2felectronics11030458&partnerID=40&md5=0128860674717312f1d9f4d81dc21f9b",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85124364980
"Dastjerdi, A.M., Morency, C.","57209247627;16313474700;","Bike-Sharing Demand Prediction at Community Level under COVID-19 Using Deep Learning",2022,"Sensors","22","3","1060","","",,,"10.3390/s22031060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124317142&doi=10.3390%2fs22031060&partnerID=40&md5=180bd7dcb3f16af5c44767dbb4092122",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85124317142
"Yao, J., Zhai, H., Yang, X., Wen, Z., Wu, S., Zhu, H., Tang, X.","57209023020;57143633000;57384662900;57204196196;57212342715;57190032288;8520300900;","Spatiotemporal Variations of Aerosols in China during the COVID-19 Pandemic Lockdown",2022,"Remote Sensing","14","3","696","","",,,"10.3390/rs14030696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124203062&doi=10.3390%2frs14030696&partnerID=40&md5=c95af6369ec43afec3ea8e89f5c5de06",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85124203062
"Liuzzi, P., Campagnini, S., Fanciullacci, C., Arienti, C., Patrini, M., Carrozza, M.C., Mannini, A.","57226865845;57215863584;6505491076;56955360300;57208697152;7004407178;55971103000;","Predicting SARS-CoV-2 infection duration at hospital admission:a deep learning solution",2022,"Medical and Biological Engineering and Computing","60","2",,"459","470",,,"10.1007/s11517-021-02479-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122462681&doi=10.1007%2fs11517-021-02479-8&partnerID=40&md5=63f685eb4a47b1e3e3dc144c8fad839b",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85122462681
"Bhat, P., Anuse, A., Kute, R., Bhadade, R.S., Purnaye, P.","57395503600;56593281700;57193650706;57210202549;57222605824;","Mental Health Analyzer for Depression Detection Based on Textual Analysis",2022,"Journal of Advances in Information Technology","13","1",,"67","77",,,"10.12720/jait.13.1.67-77","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122178321&doi=10.12720%2fjait.13.1.67-77&partnerID=40&md5=9d3a109c0c1ad49902b3abc134794014",Article,"Final","",Scopus,2-s2.0-85122178321
"Klein, T.","56414084300;","Agree to disagree? Predictions of U.S. nonfarm payroll changes between 2008 and 2020 and the impact of the COVID19 labor shock",2022,"Journal of Economic Behavior and Organization","194",,,"264","286",,,"10.1016/j.jebo.2021.11.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122150230&doi=10.1016%2fj.jebo.2021.11.028&partnerID=40&md5=7d4d98721159ef0d0215197322c85224",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85122150230
"Yang, K., Wu, C., Luo, Y.","57205570364;57298576600;55712582900;","The impact of COVID-19 on urban PM2.5 —taking Hubei Province as an example",2022,"Environmental Pollution","294",,"118633","","",,,"10.1016/j.envpol.2021.118633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120888519&doi=10.1016%2fj.envpol.2021.118633&partnerID=40&md5=e1df7562e04de2e4c429ec3187e7db55",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85120888519
"Firdose, S., Kumar, S.S., Meegama, R.G.N.","57160326100;57296010200;6506764687;","A novel predictive model for capturing threats for facilitating effective social distancing in COVID-19",2022,"International Journal of Electrical and Computer Engineering","12","1",,"596","604",,,"10.11591/ijece.v12i1.pp596-604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117138197&doi=10.11591%2fijece.v12i1.pp596-604&partnerID=40&md5=567e47611f0be750913277723d446ca5",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117138197
"Abbasimehr, H., Paki, R., Bahrini, A.","36518269600;57219088416;53863208600;","A novel approach based on combining deep learning models with statistical methods for COVID-19 time series forecasting",2022,"Neural Computing and Applications","34","4",,"3135","3149",,,"10.1007/s00521-021-06548-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116758923&doi=10.1007%2fs00521-021-06548-9&partnerID=40&md5=c49553283820f38a7cec048736a699b4",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85116758923
"Shastri, S., Singh, K., Deswal, M., Kumar, S., Mansotra, V.","57208925729;57221031051;57224516986;35280383200;16429546300;","CoBiD-net: a tailored deep learning ensemble model for time series forecasting of covid-19",2022,"Spatial Information Research","30","1",,"9","22",,1,"10.1007/s41324-021-00408-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107816089&doi=10.1007%2fs41324-021-00408-3&partnerID=40&md5=05af8f0abfffe9adbc5362f47fe0da9a",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85107816089
"Quilodrán-Casas, C., Silva, V.L.S., Arcucci, R., Heaney, C.E., Guo, Y., Pain, C.C.","57222026266;17435686300;57202733264;57221918081;57328940500;57329131000;","Digital twins based on bidirectional LSTM and GAN for modelling the COVID-19 pandemic",2022,"Neurocomputing","470",,,"11","28",,,"10.1016/j.neucom.2021.10.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118836027&doi=10.1016%2fj.neucom.2021.10.043&partnerID=40&md5=26ac271010225a5fe2f077a09d7cf1a3",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85118836027
"Oneto, L., Bunte, K., Navarin, N.","41262130900;35084914500;55337799100;","Advances in artificial neural networks, machine learning and computational intelligence",2022,"Neurocomputing","470",,,"300","303",,,"10.1016/j.neucom.2021.07.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111569008&doi=10.1016%2fj.neucom.2021.07.053&partnerID=40&md5=f3689938f61c90b13d884d4ea3985445",Editorial,"Final","All Open Access, Green",Scopus,2-s2.0-85111569008
"Thiong’o, G.M., Rutka, J.T.","22935912400;7102521632;","Digital Twin Technology: The Future of Predicting Neurological Complications of Pediatric Cancers and Their Treatment",2022,"Frontiers in Oncology","11",,"781499","","",,,"10.3389/fonc.2021.781499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123916244&doi=10.3389%2ffonc.2021.781499&partnerID=40&md5=aa8fac2f9c335aaa1fc2bd36e1645cd3",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85123916244
"Alassafi, M.O., Jarrah, M., Alotaibi, R.","57191962760;57208795080;57294972100;","Time series predicting of COVID-19 based on deep learning",2022,"Neurocomputing","468",,,"335","344",,1,"10.1016/j.neucom.2021.10.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118327644&doi=10.1016%2fj.neucom.2021.10.035&partnerID=40&md5=d973c2db3375582fde634126d104df8b",Article,"Final","",Scopus,2-s2.0-85118327644
"Abdeldayem, O.M., Dabbish, A.M., Habashy, M.M., Mostafa, M.K., Elhefnawy, M., Amin, L., Al-Sakkari, E.G., Ragab, A., Rene, E.R.","57214448518;57222468038;57219314812;55542565800;57254838000;57216440152;57191276223;56290608300;14523428600;","Viral outbreaks detection and surveillance using wastewater-based epidemiology, viral air sampling, and machine learning techniques: A comprehensive review and outlook",2022,"Science of the Total Environment","803",,"149834","","",,4,"10.1016/j.scitotenv.2021.149834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114771539&doi=10.1016%2fj.scitotenv.2021.149834&partnerID=40&md5=0e3d5f53eda28b3bd600d65b7a59eded",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85114771539
"Oshinubi, K., Rachdi, M., Demongeot, J.","57221084362;6603900449;7005372567;","Modeling of COVID-19 Pandemic vis-à-vis Some Socio-Economic Factors",2022,"Frontiers in Applied Mathematics and Statistics","7",,"786983","","",,1,"10.3389/fams.2021.786983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122495841&doi=10.3389%2ffams.2021.786983&partnerID=40&md5=e98c045e9507f91559d3ff53acb54592",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85122495841
"Masud, M.M., Hayawi, K., Mathew, S.S., Michael, T., El Barachi, M.","14037743900;16238471000;55039814800;57467145000;13408062900;","Smart Online Exam Proctoring Assist for Cheating Detection",2022,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13087 LNAI",,,"118","132",,,"10.1007/978-3-030-95405-5_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125267817&doi=10.1007%2f978-3-030-95405-5_9&partnerID=40&md5=ad1a48de5793164441921236a551f9a1",Conference Paper,"Final","",Scopus,2-s2.0-85125267817
"Rizk, H., Amano, T., Yamaguchi, H., Youssef, M.","57204967686;57192709613;7404274201;7102125877;","Smartwatch-Based Face-Touch Prediction Using Deep Representational Learning",2022,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","419 LNICST",,,"493","499",,,"10.1007/978-3-030-94822-1_29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125244657&doi=10.1007%2f978-3-030-94822-1_29&partnerID=40&md5=6a73b5cc45120bc43db9eb4aeeb935f9",Conference Paper,"Final","",Scopus,2-s2.0-85125244657
"Nidamanuri, J., Rohith, A., Pranjal, S., Venkataraman, H.","56708842800;57465330100;57465040200;16176653600;","Covid-19 Impact and Implications on Traffic: Smart Predictive Analytics for Mobility Navigation",2022,"2022 14th International Conference on COMmunication Systems and NETworkS, COMSNETS 2022",,,,"812","817",,,"10.1109/COMSNETS53615.2022.9668404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125194869&doi=10.1109%2fCOMSNETS53615.2022.9668404&partnerID=40&md5=805adb3d070b97453123479fa5c3176a",Conference Paper,"Final","",Scopus,2-s2.0-85125194869
"Almars, A.M., Atlam, E.-S., Noor, T.H., ELmarhomy, G., Alagamy, R., Gad, I.","57196744367;35502254100;56760525000;10144052600;57462734600;57198883652;","Users opinion and emotion understanding in social media regarding COVID-19 vaccine",2022,"Computing",,,,"","",,,"10.1007/s00607-022-01062-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125111727&doi=10.1007%2fs00607-022-01062-9&partnerID=40&md5=3813e591c4cd8d8bfe3af67bb15a6a28",Article,"Article in Press","All Open Access, Bronze",Scopus,2-s2.0-85125111727
"Zhang, R., Zong, Q., Zhang, X., Dou, L., Tian, B.","57196197892;7006197871;57457480700;24079928700;57311288500;","Game of Drones: Multi-UAV Pursuit-Evasion Game With Online Motion Planning by Deep Reinforcement Learning",2022,"IEEE Transactions on Neural Networks and Learning Systems",,,,"","",,,"10.1109/TNNLS.2022.3146976","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124821771&doi=10.1109%2fTNNLS.2022.3146976&partnerID=40&md5=87e8d3250a8c3c8a4e43543236b939f2",Article,"Article in Press","",Scopus,2-s2.0-85124821771
"Zech, J.R., Carotenuto, G., Jaramillo, D.","56954783800;57222522814;57455054400;","Inferring pediatric knee skeletal maturity from MRI using deep learning",2022,"Skeletal Radiology",,,,"","",,,"10.1007/s00256-022-04010-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124727003&doi=10.1007%2fs00256-022-04010-y&partnerID=40&md5=7a443fc98ce6c5731fd7a112578382d5",Article,"Article in Press","",Scopus,2-s2.0-85124727003
"Ahmad, I., Xu, S.J., Khatoon, A., Tariq, U., Khan, I., Rizvi, S.S., Ullah, A.","57285833500;57223013769;57211478772;14827558600;57189853778;25927493500;57225677006;","Analytical Study of Deep Learning-Based Preventive Measures of COVID-19 for Decision Making and Aggregation via the RISTECB Model",2022,"Scientific Programming","2022",,"6142981","","",,,"10.1155/2022/6142981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124411601&doi=10.1155%2f2022%2f6142981&partnerID=40&md5=4bd2e85399eab720e15eaac280a2c42a",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85124411601
"Sowjanya, A.M., Mrudula, O.","54890244800;57216413089;","Effective treatment of imbalanced datasets in health care using modified SMOTE coupled with stacked deep learning algorithms",2022,"Applied Nanoscience (Switzerland)",,,,"","",,,"10.1007/s13204-021-02063-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124311637&doi=10.1007%2fs13204-021-02063-4&partnerID=40&md5=ef45d121391b3fde95ad60212ad482a2",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85124311637
"Torres, J.F., Martínez-Álvarez, F., Troncoso, A.","57191281012;22035530600;23475711600;","A deep LSTM network for the Spanish electricity consumption forecasting",2022,"Neural Computing and Applications",,,,"","",,,"10.1007/s00521-021-06773-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124270388&doi=10.1007%2fs00521-021-06773-2&partnerID=40&md5=f713a9db8549fc828c3a1dab440eb872",Article,"Article in Press","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85124270388
"Kadri, F., Dairi, A., Harrou, F., Sun, Y.","57191436169;57200449072;26433417000;55737745300;","Towards accurate prediction of patient length of stay at emergency department: a GAN-driven deep learning framework",2022,"Journal of Ambient Intelligence and Humanized Computing",,,,"","",,,"10.1007/s12652-022-03717-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124088813&doi=10.1007%2fs12652-022-03717-z&partnerID=40&md5=7b78a5c751f65b2c6dc8e68588348438",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85124088813
"Jogunola, O., Morley, C., Akpan, I.J., Tsado, Y., Adebisi, B., Yao, L.","57217845723;57441077100;55203440600;55924639100;21833798800;57440873400;","Energy Consumption in Commercial Buildings in a Post-COVID-19 World",2022,"IEEE Engineering Management Review",,,,"","",,,"10.1109/EMR.2022.3146591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124069726&doi=10.1109%2fEMR.2022.3146591&partnerID=40&md5=70eb1276d4430eaba42e13bf796fb6e3",Article,"Article in Press","",Scopus,2-s2.0-85124069726
"Malhotra, K., Singh, A.P.","57224787786;57192574142;","State-Wise Analysis and Prediction of Covid-19 in India",2022,"Lecture Notes in Networks and Systems","341",,,"613","626",,,"10.1007/978-981-16-7118-0_53","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124029612&doi=10.1007%2f978-981-16-7118-0_53&partnerID=40&md5=a88a9c0c858a227f6d14e56ae1f360d8",Conference Paper,"Final","",Scopus,2-s2.0-85124029612
"Masum, M., Masud, M.A., Adnan, M.I., Shahriar, H., Kim, S.","57215599253;37119035900;57220036318;23096391900;34978723300;","Comparative study of a mathematical epidemic model, statistical modeling, and deep learning for COVID-19 forecasting and management",2022,"Socio-Economic Planning Sciences",,,"101249","","",,1,"10.1016/j.seps.2022.101249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123988426&doi=10.1016%2fj.seps.2022.101249&partnerID=40&md5=7c691087475ab8011d2c1254858fa930",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85123988426
"Chan, M., Ganti, V., Inan, O.","57402958100;57200503771;15753969900;","Respiratory Rate Estimation using U-Net-Based Cascaded Framework from Electrocardiogram and Seismocardiogram Signals",2022,"IEEE Journal of Biomedical and Health Informatics",,,,"","",,,"10.1109/JBHI.2022.3144990","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123792690&doi=10.1109%2fJBHI.2022.3144990&partnerID=40&md5=5ba1edb12d11f0ed8e824acbf4a7ae60",Article,"Article in Press","",Scopus,2-s2.0-85123792690
"Chandra, R., Jain, A., Chauhan, D.S.","35106707300;57222025686;57222025926;","Deep learning via LSTM models for COVID-19 infection forecasting in India",2022,"PLoS ONE","17","1 January","e0262708","","",,,"10.1371/journal.pone.0262708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123735016&doi=10.1371%2fjournal.pone.0262708&partnerID=40&md5=2ee93fe25e6bfd9046b265cb89da49db",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85123735016
"Basu, S., Sen, S.","57207486409;57226644399;","COVID 19 Pandemic, Socio-Economic Behaviour and Infection Characteristics: An Inter-Country Predictive Study Using Deep Learning",2022,"Computational Economics",,,,"","",,,"10.1007/s10614-021-10223-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123464984&doi=10.1007%2fs10614-021-10223-5&partnerID=40&md5=f448e79fe7d2e0b739966278be934987",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85123464984
"Chatterjee, S., Ghosh, K., Banerjee, A., Banerjee, S.","57056869700;57212492952;57212486223;57095263900;","Forecasting COVID-19 Outbreak Through Fusion of Internet Search, Social Media, and Air Quality Data: A Retrospective Study in Indian Context",2022,"IEEE Transactions on Computational Social Systems",,,,"","",,,"10.1109/TCSS.2022.3140320","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123295259&doi=10.1109%2fTCSS.2022.3140320&partnerID=40&md5=ca220dc3c9220950b09f77ad326f52b8",Article,"Article in Press","",Scopus,2-s2.0-85123295259
"Davazdahemami, B., Zolbanin, H.M., Delen, D.","57189870930;56016604600;55887961100;","An explanatory machine learning framework for studying pandemics: The case of COVID-19 emergency department readmissions",2022,"Decision Support Systems",,,"113730","","",,,"10.1016/j.dss.2022.113730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123197338&doi=10.1016%2fj.dss.2022.113730&partnerID=40&md5=c1d8f70d3e0389701398ebcab34cd60f",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85123197338
"Lucas, B., Vahedi, B., Karimzadeh, M.","57205717863;57191415118;57207563261;","A spatiotemporal machine learning approach to forecasting COVID-19 incidence at the county level in the USA",2022,"International Journal of Data Science and Analytics",,,,"","",,,"10.1007/s41060-021-00295-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123113605&doi=10.1007%2fs41060-021-00295-9&partnerID=40&md5=c10072218e0d89718357ac8e98e51b3c",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85123113605
"Chen, Z.-Y.","57225061944;","The value of probabilistic forecasting in emergency medical resource planning under uncertainty",2022,"Kybernetes",,,,"","",,,"10.1108/K-08-2021-0775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122805685&doi=10.1108%2fK-08-2021-0775&partnerID=40&md5=91445dbb63ef259a05a342637a87ba46",Article,"Article in Press","",Scopus,2-s2.0-85122805685
"Bui, K.-T.T., Torres, J.F., Gutiérrez-Avilés, D., Nhu, V.-H., Bui, D.T., Martínez-Álvarez, F.","57191956955;57191281012;54389076600;57190935659;57211054468;22035530600;","Deformation forecasting of a hydropower dam by hybridizing a long short-term memory deep learning network with the coronavirus optimization algorithm",2022,"Computer-Aided Civil and Infrastructure Engineering",,,,"","",,,"10.1111/mice.12810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122745565&doi=10.1111%2fmice.12810&partnerID=40&md5=e0c5414a3f173f22266ad35543b3bed7",Article,"Article in Press","",Scopus,2-s2.0-85122745565
