sep=,
Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Forecasting COVID-19 outbreak progression using hybrid polynomial-Bayesian ridge regression model","Applied Intelligence","","51","5","10.1007/s10489-020-01942-7","Mohd Saqib","2021","http://link.springer.com/article/10.1007/s10489-020-01942-7","Article"
"Open Data Science to Fight COVID-19: Winning the 500k XPRIZE Pandemic Response Challenge","Machine Learning and Knowledge Discovery in Databases. Applied Data Science Track","","","","10.1007/978-3-030-86514-6_24","Miguel Angel LozanoÒscar Garibo i OrtsEloy PiñolMiguel RebolloKristina PolotskayaMiguel Angel Garcia-MarchJ. Alberto ConejeroFrancisco EscolanoNuria Oliver","2021","http://link.springer.com/chapter/10.1007/978-3-030-86514-6_24","Chapter"
"An Empirical Analysis of Fake Tweet Detection Using Statistical and Deep Learning Approaches","Information and Communication Technology for Competitive Strategies (ICTCS 2020)","","","","10.1007/978-981-16-0739-4_95","Vaishali Vaibhav HirlekarArun Kumar","2022","http://link.springer.com/chapter/10.1007/978-981-16-0739-4_95","Chapter"
"Deep Forecasting of COVID-19: Canadian Case Study","Advances and Trends in Artificial Intelligence. Artificial Intelligence Practices","","","","10.1007/978-3-030-79457-6_27","Fadoua KhennouMoulay A. Akhloufi","2021","http://link.springer.com/chapter/10.1007/978-3-030-79457-6_27","Chapter"
"COVID-19 Epidemic Analysis Using Linear and Polynomial Regression Approach","Applications of Artificial Intelligence in COVID-19","","","","10.1007/978-981-15-7317-0_13","Sweeti SahSujithra KanmaniAkash KamerkarB. SurendiranR. Dhanalakshmi","2021","http://link.springer.com/chapter/10.1007/978-981-15-7317-0_13","Chapter"
"Estimating Time Lost on Semaphores with Deep Learning","New Trends in Disruptive Technologies, Tech Ethics and Artificial Intelligence","","","","10.1007/978-3-030-87687-6_4","Francisco García EncinasHelena Hernández PayoJuan Francisco de Paz SantanaMaría N. Moreno GarcíaJavier Bajo Pérez","2022","http://link.springer.com/chapter/10.1007/978-3-030-87687-6_4","Chapter"
"Analysis of COVID-19-Impacted Zone UsingMachine Learning Algorithms","Data Engineering and Communication Technology","","","","10.1007/978-981-16-0081-4_62","Sindhooja AbbagallaB. Rupa DeviP. AnjaiahK. Reddy Madhavi","2021","http://link.springer.com/chapter/10.1007/978-981-16-0081-4_62","Chapter"
"Automated Short Answer Grading Using Deep Learning: A Survey","Machine Learning and Knowledge Extraction","","","","10.1007/978-3-030-84060-0_5","Sridevi BonthuS. Rama SreeM. H. M. Krishna Prasad","2021","http://link.springer.com/chapter/10.1007/978-3-030-84060-0_5","Chapter"
"Fuzzy Time Series Forecasting of COVID-2019 Outbreak: A Case Study of U.S. Population","Proceedings of International Conference on Computational Intelligence, Data Science and Cloud Computing","","","","10.1007/978-981-33-4968-1_5","Arijit ChakrabortySajal MitraDipankar DasDebashis DeAnindya J. Pal","2021","http://link.springer.com/chapter/10.1007/978-981-33-4968-1_5","Chapter"
"Cross-Project Vulnerability Prediction Based on Software Metrics and Deep Learning","Computational Science and Its Applications – ICCSA 2020","","","","10.1007/978-3-030-58811-3_62","Ilias KalouptsoglouMiltiadis SiavvasDimitrios TsoukalasDionysios Kehagias","2020","http://link.springer.com/chapter/10.1007/978-3-030-58811-3_62","Chapter"
"Forecasting Covid-19 Cases in India using Multivariate Hybrid
CNN-LSTM Model","International Conference on Innovative Computing and Communications","","","","10.1007/978-981-16-3071-2_14","Abhishek ParasharYukti Mohan","2022","http://link.springer.com/chapter/10.1007/978-981-16-3071-2_14","Chapter"
"Stress Detection with Deep Learning Approaches Using Physiological Signals","IoT Technologies for HealthCare","","","","10.1007/978-3-030-69963-5_7","Fabrizio AlbertettiAlena SimalastarAïcha Rizzotti-Kaddouri","2021","http://link.springer.com/chapter/10.1007/978-3-030-69963-5_7","Chapter"
"An LSTM Based Deep Learning Method for Airline Ticket Price Prediction","Neural Information Processing","","","","10.1007/978-3-030-63823-8_86","Ke DuJiaxing YanZhou HangZhihao ChenLulu Wu","2020","http://link.springer.com/chapter/10.1007/978-3-030-63823-8_86","Chapter"
"Trust Prediction Model Based on Deep Learning in Social Internet of Things","IoT as a Service","","","","10.1007/978-3-030-67514-1_44","Yuyao WenZhan XuRuxin ZhiJinhui Chen","2021","http://link.springer.com/chapter/10.1007/978-3-030-67514-1_44","Chapter"
"Deep Learning Assisted Memetic Algorithm for Shortest Route Problems","Computational Science – ICCS 2020","","","","10.1007/978-3-030-50426-7_9","Ayad TurkyMohammad Saiedur RahamanWei ShaoFlora D. SalimDoug BradbrookAndy Song","2020","http://link.springer.com/chapter/10.1007/978-3-030-50426-7_9","Chapter"
"AMAIX: A Generic Analytical Model for Deep Learning Accelerators","Embedded Computer Systems: Architectures, Modeling, and Simulation","","","","10.1007/978-3-030-60939-9_3","Lukas JüngerNiko ZurstraßenTim KogelHolger KedingRainer Leupers","2020","http://link.springer.com/chapter/10.1007/978-3-030-60939-9_3","Chapter"
"Forecasting Rate of Spread of Covid-19 Using Linear Regression and LSTM","International Conference on Innovative Computing and Communications","","","","10.1007/978-981-16-2594-7_10","Ashwin GoyalKartik PuriRachna JainPreeti Nagrath","2022","http://link.springer.com/chapter/10.1007/978-981-16-2594-7_10","Chapter"
"Forecasting COVID-19 Outbreak in India Using Time Series Dataset: An Ensemble of ARIMA, Abbasov-Mamedova, and Multilayer Perceptron Models","Advanced Techniques for IoT Applications","","","","10.1007/978-981-16-4435-1_17","Arijit ChakrabortySajal MitraDipankar DasDebashis DeAnindya J. Pal","2022","http://link.springer.com/chapter/10.1007/978-981-16-4435-1_17","Chapter"
"Active User Blind Detection Through Deep Learning","Cognitive Radio-Oriented Wireless Networks","","","","10.1007/978-3-030-73423-7_1","Cyrille MorinDiane DucheminJean-Marie GorceClaire GoursaudLeonardo S. Cardoso","2021","http://link.springer.com/chapter/10.1007/978-3-030-73423-7_1","Chapter"
"A Deep Learning-Based Approach for the Classification of Gait Dynamics in Subjects with a Neurodegenerative Disease","Intelligent Systems and Applications","","","","10.1007/978-3-030-55190-2_34","Giovanni ParagliolaAntonio Coronato","2021","http://link.springer.com/chapter/10.1007/978-3-030-55190-2_34","Chapter"
"Learning Higher Representations from Bioacoustics: A Sequence-to-Sequence Deep Learning Approach for Bird Sound Classification","Neural Information Processing","","","","10.1007/978-3-030-63823-8_16","Yu QiaoKun QianZiping Zhao","2020","http://link.springer.com/chapter/10.1007/978-3-030-63823-8_16","Chapter"
"The Intelligent Routing Control Strategy Based on Deep Learning","IoT as a Service","","","","10.1007/978-3-030-67514-1_46","Jinsuo JiaYichun FuGuiyu ZhangXiaochen LiangPeng Xu","2021","http://link.springer.com/chapter/10.1007/978-3-030-67514-1_46","Chapter"
"Recognition of Roles of Variables Based on Deep Learning Technologies","Technology in Education. Innovations for Online Teaching and Learning","","","","10.1007/978-981-33-4594-2_30","Andrew Kwok-Fai LuiTsz-Tik LuiTommy Cheuk-Hin LeungHo-Yin Chan","2020","http://link.springer.com/chapter/10.1007/978-981-33-4594-2_30","Chapter"
"Forecasting of COVID-19 Cases in INDIA Using ARIMA and AR Time-Series Algorithm","Proceedings of the 13th International Conference on Soft Computing and Pattern Recognition (SoCPaR 2021)","","","","10.1007/978-3-030-96302-6_33","Dilip PrajapatiMahendra Kanojia","2022","http://link.springer.com/chapter/10.1007/978-3-030-96302-6_33","Chapter"
"A Good Anvil Fears No Hammer: Automated Rowhammer Detection Using Unsupervised Deep Learning","Applied Cryptography and Network Security Workshops","","","","10.1007/978-3-030-81645-2_5","Anirban ChakrabortyManaar AlamDebdeep Mukhopadhyay","2021","http://link.springer.com/chapter/10.1007/978-3-030-81645-2_5","Chapter"
"Causal Discovery and Knowledge Linkage in Scientific Literature: A Case Study in Biomedicine","Information for a Better World: Shaping the Global Future","","","","10.1007/978-3-030-96957-8_28","Yujie ZhangRujiang BaiQiming ChenYahui ZhangMengying Feng","2022","http://link.springer.com/chapter/10.1007/978-3-030-96957-8_28","Chapter"
"Investigating Citation Linkage as a Sentence Similarity Measurement Task Using Deep Learning","Advances in Artificial Intelligence","","","","10.1007/978-3-030-47358-7_50","Sudipta Singha RoyRobert E. MercerFelipe Urra","2020","http://link.springer.com/chapter/10.1007/978-3-030-47358-7_50","Chapter"
"Detection of Obfuscated Mobile Malware with Machine Learning and Deep Learning Models","Machine Learning and Metaheuristics Algorithms, and Applications","","","","10.1007/978-981-16-0419-5_18","K. A. DhanyaO. K. DheeshaT. Gireesh KumarP. Vinod","2021","http://link.springer.com/chapter/10.1007/978-981-16-0419-5_18","Chapter"
"A Comparison of Weight Initializers in Deep Learning-Based Side-Channel Analysis","Applied Cryptography and Network Security Workshops","","","","10.1007/978-3-030-61638-0_8","Huimin LiMarina KrčekGuilherme Perin","2020","http://link.springer.com/chapter/10.1007/978-3-030-61638-0_8","Chapter"
"Toward an Intelligent Computing Solution for Endotracheal Obstruction Prediction in COVID-19 Patients in ICU","Advances in Computational Intelligence","","","","10.1007/978-3-030-85030-2_6","Pablo Fernández-LópezCarmen Paz Suárez-AraujoPatricio García-BáezFrancisco Suárez-DíazJuan L. Navarro-MesaGuillermo Pérez-AcostaJosé Blanco-López","2021","http://link.springer.com/chapter/10.1007/978-3-030-85030-2_6","Chapter"
"Forecasting the Number of Customers Visiting Restaurants Using Machine Learning and Statistical Method","Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","","","","10.1007/978-3-030-85906-0_21","Takashi TanizakiShunsuke KozumaTakeshi Shimmura","2021","http://link.springer.com/chapter/10.1007/978-3-030-85906-0_21","Chapter"
"Predictive Modeling of the Spread of COVID-19: The Case of India","Ubiquitous Communications and Network Computing","","","","10.1007/978-3-030-79276-3_11","Sriram SankaranVamshi Sunku MohanMukund SeshadrinathKrushna Chandra GoudaHimesh ShivappaKrishnashree Achuthan","2021","http://link.springer.com/chapter/10.1007/978-3-030-79276-3_11","Chapter"
"COVID-19 cases prediction in multiple areas via shapelet learning","Applied Intelligence","","52","1","10.1007/s10489-021-02391-6","Zhijin WangBing Cai","2022","http://link.springer.com/article/10.1007/s10489-021-02391-6","Article"
"Mid-Term Forecasting of Fatalities Due to COVID-19 Pandemic: A Case Study in Nine Most Affected Countries","Emerging Technologies During the Era of COVID-19 Pandemic","","","","10.1007/978-3-030-67716-9_12","Sneha RaiMala De","2021","http://link.springer.com/chapter/10.1007/978-3-030-67716-9_12","Chapter"
"Big Data Analysis of Energy Economics in Oil Market","Big Data in Energy Economics","","","","10.1007/978-981-16-8965-9_2","Hui LiuNikolaos NikitasYanfei LiRui Yang","2022","http://link.springer.com/chapter/10.1007/978-981-16-8965-9_2","Chapter"
"TLife-LSTM: Forecasting Future COVID-19 Progression with Topological Signatures of Atmospheric Conditions","Advances in Knowledge Discovery and Data Mining","","","","10.1007/978-3-030-75762-5_17","Ignacio Segovia-DominguezZhiwei ZhenRishabh WaghHuikyo LeeYulia R. Gel","2021","http://link.springer.com/chapter/10.1007/978-3-030-75762-5_17","Chapter"
"Estimating Cases for COVID-19 in India","Open Data for Sustainable Community","","","","10.1007/978-981-33-4312-2_9","Neha SharmaSantanu GhoshMonodeep Saha","2021","http://link.springer.com/chapter/10.1007/978-981-33-4312-2_9","Chapter"
"Geolocation Inference Using Twitter Data: A Case Study of COVID-19 in the Contiguous United States","Geographical Information Systems Theory, Applications and Management","","","","10.1007/978-3-030-76374-9_8","Bingnan LiZi ChenSamsung Lim","2021","http://link.springer.com/chapter/10.1007/978-3-030-76374-9_8","Chapter"
"Modeling and Evaluating the Impact of Social Restrictions on the Spread of COVID-19 Using Machine Learning","Smart and Sustainable Technology for Resilient Cities and Communities","","","","10.1007/978-981-16-9101-0_8","Mostafa NaemiAmin NaemiRomina Zarrabi EkbataniAli EbrahimiThomas SchmidtUffe Kock Wiil","2022","http://link.springer.com/chapter/10.1007/978-981-16-9101-0_8","Chapter"
"Short-Term Forecasting Methodology for Energy Demand in Residential Buildings and the Impact of the COVID-19 Pandemic on Forecasts","Artificial Intelligence XXXVII","","","","10.1007/978-3-030-63799-6_18","Meritxell Gomez-OmellaIker Esnaola-GonzalezSusana Ferreiro","2020","http://link.springer.com/chapter/10.1007/978-3-030-63799-6_18","Chapter"
"Forecasting the COVID-19 Spread in Iran, Italy, and Mexico Using Novel Nonlinear Autoregressive Neural Network and ARIMA-Based Hybrid Models","Smart and Sustainable Technology for Resilient Cities and Communities","","","","10.1007/978-981-16-9101-0_9","Amin NaemiMostafa NaemiRomina Zarrabi EkbataniThomas SchmidtAli EbrahimiMarjan MansourvarUffe Kock Wiil","2022","http://link.springer.com/chapter/10.1007/978-981-16-9101-0_9","Chapter"
"Death Prediction in the Current Pandemic Scenario and Cluster Classification Using Soft Computing Techniques","Advanced Computing and Intelligent Technologies","","","","10.1007/978-981-16-2164-2_28","Loshima LohiMaya L. Pai","2022","http://link.springer.com/chapter/10.1007/978-981-16-2164-2_28","Chapter"
"A Novel Three-Level Voting Model for Detecting Misleading Information on COVID-19","Advanced Techniques for IoT Applications","","","","10.1007/978-981-16-4435-1_36","Shovan BhowmikPriyo Ranjan Kundu ProsunKazi Saeed Alam","2022","http://link.springer.com/chapter/10.1007/978-981-16-4435-1_36","Chapter"
"Analysis of COVID-19 Trends in Bangladesh: A Machine Learning Analysis","AI and IoT for Sustainable Development in Emerging Countries","","","","10.1007/978-3-030-90618-4_31","Nishat Ahmed SamrinMd. Mahmudul Hasan SuzanMd. Selim HossainMohammad Sarwar Hossain MollahMd. Dulal Haque","2022","http://link.springer.com/chapter/10.1007/978-3-030-90618-4_31","Chapter"
"Real Conversation with Human-Machine 24/7 COVID-19 Chatbot Based on Knowledge Graph Contextual Search","Data Science and Computational Intelligence","","","","10.1007/978-3-030-91244-4_21","Tanuja PatgarRipal PatelS. Girija","2021","http://link.springer.com/chapter/10.1007/978-3-030-91244-4_21","Chapter"
"Data Decomposition Based Learning for Load Time-Series Forecasting","ECML PKDD 2020 Workshops","","","","10.1007/978-3-030-65965-3_5","Jatin BediDurga Toshniwal","2020","http://link.springer.com/chapter/10.1007/978-3-030-65965-3_5","Chapter"
"Rough Sets in COVID-19 to Predict Symptomatic Cases","COVID-19: Prediction, Decision-Making, and its Impacts","","","","10.1007/978-981-15-9682-7_7","Haribhau R. BhapkarParikshit N. MahalleGitanjali R. ShindeMufti Mahmud","2021","http://link.springer.com/chapter/10.1007/978-981-15-9682-7_7","Chapter"
"Cross-sectional analysis and data-driven forecasting of confirmed COVID-19 cases","Applied Intelligence","","52","3","10.1007/s10489-021-02616-8","Nan JingZijing ShiYi HuJi Yuan","2022","http://link.springer.com/article/10.1007/s10489-021-02616-8","Article"
"AI Techniques for Resource Management During COVID-19","Artificial Intelligence and Machine Learning for COVID-19","","","","10.1007/978-3-030-60188-1_11","Bandana Mahapatra","2021","http://link.springer.com/chapter/10.1007/978-3-030-60188-1_11","Chapter"
"Enhancing Epidemiological Surveillance Systems Using Dynamic Modeling: A Scoping Review","Proceedings of the 13th International Conference on Soft Computing and Pattern Recognition (SoCPaR 2021)","","","","10.1007/978-3-030-96302-6_48","Olumide O. ObeOluwafemi A. SarumiAdegboyega Adebayo","2022","http://link.springer.com/chapter/10.1007/978-3-030-96302-6_48","Chapter"
"Monitoring of the COVID-19 Cases by EWMA Control Chart","International Conference on Innovative Computing and Communications","","","","10.1007/978-981-16-2597-8_46","Pulak KumariAnurag PriyadarshiAmit Kumar GuptaSanjeev Kumar Prasad","2022","http://link.springer.com/chapter/10.1007/978-981-16-2597-8_46","Chapter"
"A Partial Approach to Intrusion Detection","Digital Forensics and Cyber Crime","","","","10.1007/978-3-030-68734-2_5","John Sheppard","2021","http://link.springer.com/chapter/10.1007/978-3-030-68734-2_5","Chapter"
"On Computing in the Network: Covid-19 Coughs Detection Case Study","Ubiquitous Networking","","","","10.1007/978-3-030-86356-2_16","Soukaina Ouledsidi AliZakaria Ait HmittiHalima ElbiazeRoch Glitho","2021","http://link.springer.com/chapter/10.1007/978-3-030-86356-2_16","Chapter"
"AI-Enabled Framework to Prevent COVID-19 from Further Spreading","Intelligent Systems and Methods to Combat Covid-19","","","","10.1007/978-981-15-6572-4_4","DalipDeepika","2020","http://link.springer.com/chapter/10.1007/978-981-15-6572-4_4","Chapter"
"Fighting an Infodemic: COVID-19 Fake News Dataset","Combating Online Hostile Posts in Regional Languages during Emergency Situation","","","","10.1007/978-3-030-73696-5_3","Parth PatwaShivam SharmaSrinivas PyklVineeth GupthaGitanjali KumariMd Shad AkhtarAsif EkbalAmitava DasTanmoy Chakraborty","2021","http://link.springer.com/chapter/10.1007/978-3-030-73696-5_3","Chapter"
"Prediction of Covid 19 Cases Based on Weather Parameters","Intelligent Sustainable Systems","","","","10.1007/978-981-16-2422-3_4","N. RadhaR. Parvathi","2022","http://link.springer.com/chapter/10.1007/978-981-16-2422-3_4","Chapter"
"Usage of E-books During the COVID-19 Pandemic: A Case Study of Kyushu University Library, Japan","Diversity, Divergence, Dialogue","","","","10.1007/978-3-030-71305-8_40","Mei KodamaEmi IshitaYukiko WatanabeYoichi Tomiura","2021","http://link.springer.com/chapter/10.1007/978-3-030-71305-8_40","Chapter"
"The Role of Artificial Intelligence Technology in Improving the Resilience of Supply Chain During COVID-19","Advances in Artificial Systems for Medicine and Education V","","","","10.1007/978-3-030-92537-6_21","Zhong ZhengGenge ZhangYun LinYanfang PanYandong He","2022","http://link.springer.com/chapter/10.1007/978-3-030-92537-6_21","Chapter"
"Using Artificial Intelligence Against the Phenomenon of Fake News: A Systematic Literature Review","Combating Fake News with Computational Intelligence Techniques","","","","10.1007/978-3-030-90087-8_2","Mustafa A. Al-AsadiSakir Tasdemir","2022","http://link.springer.com/chapter/10.1007/978-3-030-90087-8_2","Chapter"
"Data Evaluation of Happiness Scale Online Study: A Rasch Measurement Analysis","Manage Your Own Learning Analytics","","","","10.1007/978-3-030-86316-6_4","Elspeth McKayKeven AsquithEugenia Smyrnova-TrybulskaAnna Porczyńska-CiszewskaTomasz Kopczyński","2022","http://link.springer.com/chapter/10.1007/978-3-030-86316-6_4","Chapter"
"Machine Learning Based Fake News Detection on Covid-19 Tweets Data","Proceedings of International Conference on Computational Intelligence and Data Engineering","","","","10.1007/978-981-16-7182-1_8","Vishesh MehtaRam Krishn Mishra","2022","http://link.springer.com/chapter/10.1007/978-981-16-7182-1_8","Chapter"
"Research on COVID-19 Internet Derived Public Opinions Prediction Based on the Event Evolution Graph","Data Science","","","","10.1007/978-981-16-5943-0_4","Xu ChenFeng PanYiliang HanRiming Wu","2021","http://link.springer.com/chapter/10.1007/978-981-16-5943-0_4","Chapter"
"Mining and Predicting No-Show Medical Appointments: Using Hybrid Sampling Technique","Communication and Intelligent Systems","","","","10.1007/978-981-16-1089-9_27","Albtool AlaidahEman AlamoudiDauaa ShalabiMalak AlQahtaniHajar AlnamshanNirase Fathima Abubacker","2021","http://link.springer.com/chapter/10.1007/978-981-16-1089-9_27","Chapter"
"Augmented Out-of-Sample Comparison Method for Time Series Forecasting Techniques","Advances in Artificial Intelligence","","","","10.1007/978-3-030-47358-7_30","Igor IlicBerk GorguluMucahit Cevik","2020","http://link.springer.com/chapter/10.1007/978-3-030-47358-7_30","Chapter"
"Weather Variability Control in Three Colombian Airports","Advances in Tourism, Technology and Systems","","","","10.1007/978-981-33-4256-9_37","Karen Vargas-DazaGiovanny Misat-GómezDionisio Neira-Rodado","2021","http://link.springer.com/chapter/10.1007/978-981-33-4256-9_37","Chapter"
"Precise Weather Parameter Predictions for Target Regions via Neural Networks","Machine Learning and Knowledge Discovery in Databases. Applied Data Science Track","","","","10.1007/978-3-030-86517-7_10","Yihe ZhangXu YuanSytske K. KimballEric RappinLi ChenPaul DarbyTom JohnstenLu PengBoisy PitreDavid BourrieNian-Feng Tzeng","2021","http://link.springer.com/chapter/10.1007/978-3-030-86517-7_10","Chapter"
"Medical Knowledge Graphs in the Discovery of Future Research Collaborations","Handbook of Artificial  Intelligence in Healthcare","","","","10.1007/978-3-030-83620-7_16","Nikolaos GiarelisNikos KanakarisNikos Karacapilidis","2022","http://link.springer.com/chapter/10.1007/978-3-030-83620-7_16","Chapter"
"Predicting Passenger Flow in BTS and MTS Using Hybrid Stacked Auto-encoder and Softmax Regression","Computing Science, Communication and Security","","","","10.1007/978-981-15-6648-6_3","Archana M. NayakNirbhay Chaubey","2020","http://link.springer.com/chapter/10.1007/978-981-15-6648-6_3","Chapter"
"Model-Based Error Detection for Industrial Automation Systems Using LSTM Networks","Model-Based Safety and Assessment","","","","10.1007/978-3-030-58920-2_14","Sheng DingAndrey MorozovSilvia VockMichael WeyrichKlaus Janschek","2020","http://link.springer.com/chapter/10.1007/978-3-030-58920-2_14","Chapter"
"Photovoltaic Generation Forecast: Model Training and Adversarial Attack Aspects","Intelligent Systems","","","","10.1007/978-3-030-61380-8_43","Everton J. SantanaRicardo Petri SilvaBruno B. ZarpelãoSylvio Barbon Junior","2020","http://link.springer.com/chapter/10.1007/978-3-030-61380-8_43","Chapter"
"Editor’s Note: Applied Intelligence and COVID-19 Research","Applied Intelligence","","50","6","10.1007/s10489-020-01721-4","","2020","http://link.springer.com/article/10.1007/s10489-020-01721-4","Article"
"Single Model for Influenza Forecasting of Multiple Countries by Multi-task Learning","Machine Learning and Knowledge Discovery in Databases. Applied Data Science Track","","","","10.1007/978-3-030-86514-6_21","Taichi MurayamaShoko WakamiyaEiji Aramaki","2021","http://link.springer.com/chapter/10.1007/978-3-030-86514-6_21","Chapter"
"Smartwatch-Based Face-Touch Prediction Using Deep Representational Learning","Mobile and Ubiquitous Systems: Computing, Networking and Services","","","","10.1007/978-3-030-94822-1_29","Hamada RizkTatsuya AmanoHirozumi YamaguchiMoustafa Youssef","2022","http://link.springer.com/chapter/10.1007/978-3-030-94822-1_29","Chapter"
"The analysis of isolation measures for epidemic control of COVID-19","Applied Intelligence","","51","5","10.1007/s10489-021-02239-z","Bo HuangYimin ZhuYongbin GaoGuohui ZengJuan ZhangJin LiuLi Liu","2021","http://link.springer.com/article/10.1007/s10489-021-02239-z","Article"
"Exploring Interpretable Predictive Models for Business Processes","Business Process Management","","","","10.1007/978-3-030-58666-9_15","Renuka SindhgattaCatarina MoreiraChun OuyangAlistair Barros","2020","http://link.springer.com/chapter/10.1007/978-3-030-58666-9_15","Chapter"
"Role of Data Analytics in Bio Cyber Physical Systems","Trends of Data Science and Applications","","","","10.1007/978-981-33-6815-6_7","Utkarsh Singh","2021","http://link.springer.com/chapter/10.1007/978-981-33-6815-6_7","Chapter"
"Data Analytics: The Challenges and the Latest Trends to Flourish in the Post-COVID-19","Proceedings of the International Conference on Paradigms of Communication, Computing and Data Sciences","","","","10.1007/978-981-16-5747-4_43","T. R. MaheshV. VivekC. SaravananK. Vinay Kumar","2022","http://link.springer.com/chapter/10.1007/978-981-16-5747-4_43","Chapter"
"Multi-components System for Automatic Arabic Diacritization","Advances in Information Retrieval","","","","10.1007/978-3-030-45439-5_23","Hamza AbbadShengwu Xiong","2020","http://link.springer.com/chapter/10.1007/978-3-030-45439-5_23","Chapter"
"Distribution of Vaccines During a Pandemic (Covid-19)","Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","","","","10.1007/978-3-030-85910-7_5","Vignesh DhanapalSubhash C. Sarin","2021","http://link.springer.com/chapter/10.1007/978-3-030-85910-7_5","Chapter"
"Recent Research on Phishing Detection Through Machine Learning Algorithm","Advances and Trends in Artificial Intelligence. Artificial Intelligence Practices","","","","10.1007/978-3-030-79457-6_42","Do Nguyet QuangAli SelamatOndrej Krejcar","2021","http://link.springer.com/chapter/10.1007/978-3-030-79457-6_42","Chapter"
"Introduction to Artificial Intelligence and the Nature of a Firm: Implications to Strategy and Strategy Implementation","Artificial Intelligence and the Changing Nature of Corporations","","","","10.1007/978-3-030-76313-8_1","Tankiso MoloiTshilidzi Marwala","2021","http://link.springer.com/chapter/10.1007/978-3-030-76313-8_1","Chapter"
"A Tree-Structure Convolutional Neural Network for Temporal Features Exaction on Sensor-Based Multi-resident Activity Recognition","Neural Computing for Advanced Applications","","","","10.1007/978-981-15-7670-6_43","Jingjing CaoFukang GuoXin LaiQiang ZhouJinshan Dai","2020","http://link.springer.com/chapter/10.1007/978-981-15-7670-6_43","Chapter"
"DeepPE: Emulating Parameterization in Numerical Weather Forecast Model Through Bidirectional Network","Machine Learning and Knowledge Discovery in Databases. Applied Data Science Track","","","","10.1007/978-3-030-86517-7_6","Fengyang XuWencheng ShiYunfei DuZhiguang ChenYutong Lu","2021","http://link.springer.com/chapter/10.1007/978-3-030-86517-7_6","Chapter"
