PMID;Title;Authors;Citation;First Author;Journal/Book;Publication Year;Create Date;PMCID;NIHMS ID;DOI
33024092;Machine learning based early warning system enables accurate mortality risk prediction for COVID-19;Gao Y, Cai GY, Fang W, Li HY, Wang SY, Chen L, Yu Y, Liu D, Xu S, Cui PF, Zeng SQ, Feng XX, Yu RD, Wang Y, Yuan Y, Jiao XF, Chi JH, Liu JH, Li RY, Zheng X, Song CY, Jin N, Gong WJ, Liu XY, Huang L, Tian X, Li L, Xing H, Ma D, Li CR, Ye F, Gao QL.;Nat Commun. 2020 Oct 6,11(1):5033. doi: 10.1038/s41467-020-18684-2.;Gao Y;Nat Commun;2020;7-10-2020;PMC7538910;;10.1038/s41467-020-18684-2
33284825;Prevalence and predictors of death and severe disease in patients hospitalized due to COVID-19: A comprehensive systematic review and meta-analysis of 77 studies and 38,000 patients;Dorjee K, Kim H, Bonomo E, Dolma R.;PLoS One. 2020 Dec 7,15(12):e0243191. doi: 10.1371/journal.pone.0243191. eCollection 2020.;Dorjee K;PLoS One;2020;7-12-2020;PMC7721151;;10.1371/journal.pone.0243191
33646849;Development of Severe COVID-19 Adaptive Risk Predictor (SCARP), a Calculator to Predict Severe Disease or Death in Hospitalized Patients With COVID-19;Wongvibulsin S, Garibaldi BT, Antar AAR, Wen J, Wang MC, Gupta A, Bollinger R, Xu Y, Wang K, Betz JF, Muschelli J, Bandeen-Roche K, Zeger SL, Robinson ML.;Ann Intern Med. 2021 Jun,174(6):777-785. doi: 10.7326/M20-6754. Epub 2021 Mar 2.;Wongvibulsin S;Ann Intern Med;2021;1-3-2021;PMC7934337;;10.7326/M20-6754
34308367;Machine Learning Approaches for Tackling Novel Coronavirus (COVID-19) Pandemic;Rahman MM, Islam MM, Manik MMH, Islam MR, Al-Rakhami MS.;SN Comput Sci. 2021,2(5):384. doi: 10.1007/s42979-021-00774-7. Epub 2021 Jul 19.;Rahman MM;SN Comput Sci;2021;26-7-2021;PMC8287848;;10.1007/s42979-021-00774-7
33746182;COVID-19 vaccine research focusses on safety, efficacy, immunoinformatics, and vaccine production and delivery: a bibliometric analysis based on VOSviewer;Chen Y, Cheng L, Lian R, Song Z, Tian J.;Biosci Trends. 2021 May 11,15(2):64-73. doi: 10.5582/bst.2021.01061. Epub 2021 Mar 19.;Chen Y;Biosci Trends;2021;22-3-2021;;;10.5582/bst.2021.01061
35182802;Association between SARS-Cov-2 infection during pregnancy and adverse pregnancy outcomes: a re-analysis of the data reported by Wei et al. (2021);Glele LSA, Simon E, Bouit C, Serrand M, Filipuzzi L, Astruc K, Kadhel P, Sagot P.;Infect Dis Now. 2022 Feb 16:S2666-9919(22)00042-2. doi: 10.1016/j.idnow.2022.02.009. Online ahead of print.;Glele LSA;Infect Dis Now;2022;19-2-2022;PMC8847095;;10.1016/j.idnow.2022.02.009
34698582;COVID-19 Vaccine-Associated Thrombosis With Thrombocytopenia Syndrome (TTS): A Systematic Review and Post Hoc Analysis;Hafeez MU, Ikram M, Shafiq Z, Sarfraz A, Sarfraz Z, Jaiswal V, Sarfraz M, Chérrez-Ojeda I.;Clin Appl Thromb Hemost. 2021 Jan-Dec,27:10760296211048815. doi: 10.1177/10760296211048815.;Hafeez MU;Clin Appl Thromb Hemost;2021;26-10-2021;PMC8552386;;10.1177/10760296211048815
32496248;Effectiveness of preventive measures against COVID-19: A systematic review of In Silico modeling studies in indian context;Lahiri A, Jha SS, Bhattacharya S, Ray S, Chakraborty A.;Indian J Public Health. 2020 Jun,64(Supplement):S156-S167. doi: 10.4103/ijph.IJPH_464_20.;Lahiri A;Indian J Public Health;2020;5-6-2020;;;10.4103/ijph.IJPH_464_20
35070385;Application of artificial intelligence in COVID-19 medical area: a systematic review;Chang Z, Zhan Z, Zhao Z, You Z, Liu Y, Yan Z, Fu Y, Liang W, Zhao L.;J Thorac Dis. 2021 Dec,13(12):7034-7053. doi: 10.21037/jtd-21-747.;Chang Z;J Thorac Dis;2021;24-1-2022;PMC8743418;;10.21037/jtd-21-747
34197473;Bayesian neural networks for stock price forecasting before and during COVID-19 pandemic;Chandra R, He Y.;PLoS One. 2021 Jul 1,16(7):e0253217. doi: 10.1371/journal.pone.0253217. eCollection 2021.;Chandra R;PLoS One;2021;1-7-2021;PMC8248663;;10.1371/journal.pone.0253217
35182952;Modeling the SARS-CoV-2 parallel transmission dynamics: Asymptomatic and symptomatic pathways;Chowdhury SMEK, Forkan M, Ahmed SF, Agarwal P, Shawkat Ali ABM, Muyeen SM.;Comput Biol Med. 2022 Jan 25,143:105264. doi: 10.1016/j.compbiomed.2022.105264. Online ahead of print.;Chowdhury SMEK;Comput Biol Med;2022;19-2-2022;PMC8788092;;10.1016/j.compbiomed.2022.105264
33769936;A Survey on Mathematical, Machine Learning and Deep Learning Models for COVID-19 Transmission and Diagnosis;John CC, Ponnusamy V, Krishnan Chandrasekaran S, R N.;IEEE Rev Biomed Eng. 2022,15:325-340. doi: 10.1109/RBME.2021.3069213. Epub 2022 Jan 20.;John CC;IEEE Rev Biomed Eng;2022;26-3-2021;;;10.1109/RBME.2021.3069213
33821142;Nonlinear Neural Network Based Forecasting Model for Predicting COVID-19 Cases;Namasudra S, Dhamodharavadhani S, Rathipriya R.;Neural Process Lett. 2021 Apr 1:1-21. doi: 10.1007/s11063-021-10495-w. Online ahead of print.;Namasudra S;Neural Process Lett;2021;6-4-2021;PMC8012519;;10.1007/s11063-021-10495-w
32415902;Ibuprofen and thromboembolism in SARS-COV2;Arjomandi Rad A, Vardanyan R, Tas NR.;J Thromb Haemost. 2020 Sep,18(9):2425-2427. doi: 10.1111/jth.14901.;Arjomandi Rad A;J Thromb Haemost;2020;17-5-2020;PMC7276881;;10.1111/jth.14901
32864128;Systematic analysis of disease-specific immunological signatures in patients with febrile illness from Saudi Arabia;Kam YW, Ahmed MY, Amrun SN, Lee B, Refaie T, Elgizouli K, Fong SW, Renia L, Ng LF.;Clin Transl Immunology. 2020 Aug 22,9(8):e1163. doi: 10.1002/cti2.1163. eCollection 2020.;Kam YW;Clin Transl Immunology;2020;1-9-2020;PMC7443187;;10.1002/cti2.1163
33973190;Clinical and Laboratory Predictors of Severity, Criticality, and Mortality in COVID-19: A Multisystem Disease;Gholami B, Gholami S, Loghman AH, Khodaei B, Seyedpour S, Seyedpour N, Saghazadeh A, Rezaei N.;Adv Exp Med Biol. 2021,1318:369-402. doi: 10.1007/978-3-030-63761-3_22.;Gholami B;Adv Exp Med Biol;2021;11-5-2021;;;10.1007/978-3-030-63761-3_22
34690447;Hybrid deep learning of social media big data for predicting the evolution of COVID-19 transmission;Chew AWZ, Pan Y, Wang Y, Zhang L.;Knowl Based Syst. 2021 Dec 5,233:107417. doi: 10.1016/j.knosys.2021.107417. Epub 2021 Aug 24.;Chew AWZ;Knowl Based Syst;2021;25-10-2021;PMC8522122;;10.1016/j.knosys.2021.107417
33686812;Estimating Baseline Incidence of Conditions Potentially Associated with Vaccine Adverse Events: a Call for Surveillance System Using the Korean National Health Insurance Claims Data;Huh K, Kim YE, Radnaabaatar M, Lee DH, Kim DW, Shin SA, Jung J.;J Korean Med Sci. 2021 Mar 8,36(9):e67. doi: 10.3346/jkms.2021.36.e67.;Huh K;J Korean Med Sci;2021;9-3-2021;PMC7940120;;10.3346/jkms.2021.36.e67
34393647;Enhanced bat algorithm for COVID-19 short-term forecasting using optimized LSTM;Rauf HT, Gao J, Almadhor A, Arif M, Nafis MT.;Soft comput. 2021,25(20):12989-12999. doi: 10.1007/s00500-021-06075-8. Epub 2021 Aug 11.;Rauf HT;Soft comput;2021;16-8-2021;PMC8356221;;10.1007/s00500-021-06075-8
33732461;Between a hygiene rock and a hygienic hard place: Avoiding SARS-CoV-2 while needing environmental exposures for immunity;Parker W, Sarafian JT, Broverman SA, Laman JD.;Evol Med Public Health. 2021 Feb 12,9(1):120-130. doi: 10.1093/emph/eoab006. eCollection 2021.;Parker W;Evol Med Public Health;2021;18-3-2021;PMC7928958;;10.1093/emph/eoab006
34602688;Deep learning in the COVID-19 epidemic: A deep model for urban traffic revitalization index;Lv Z, Li J, Dong C, Li H, Xu Z.;Data Knowl Eng. 2021 Sep,135:101912. doi: 10.1016/j.datak.2021.101912. Epub 2021 Jul 2.;Lv Z;Data Knowl Eng;2021;4-10-2021;PMC8473779;;10.1016/j.datak.2021.101912
35089976;Deep learning via LSTM models for COVID-19 infection forecasting in India;Chandra R, Jain A, Singh Chauhan D.;PLoS One. 2022 Jan 28,17(1):e0262708. doi: 10.1371/journal.pone.0262708. eCollection 2022.;Chandra R;PLoS One;2022;28-1-2022;PMC8797257;;10.1371/journal.pone.0262708
34237535;Unsupervised PM(2.5) anomalies in China induced by the COVID-19 epidemic;Zhao Y, Wang L, Huang T, Tao S, Liu J, Gao H, Luo J, Huang Y, Liu X, Chen K, Wang L, Ma J.;Sci Total Environ. 2021 Nov 15,795:148807. doi: 10.1016/j.scitotenv.2021.148807. Epub 2021 Jul 1.;Zhao Y;Sci Total Environ;2021;8-7-2021;PMC8247192;;10.1016/j.scitotenv.2021.148807
33281305;Prediction of COVID-19 confirmed cases combining deep learning methods and Bayesian optimization;Abbasimehr H, Paki R.;Chaos Solitons Fractals. 2021 Jan,142:110511. doi: 10.1016/j.chaos.2020.110511. Epub 2020 Nov 28.;Abbasimehr H;Chaos Solitons Fractals;2021;7-12-2020;PMC7699029;;10.1016/j.chaos.2020.110511
33292780;Application of artificial neural networks to predict the COVID-19 outbreak;Niazkar HR, Niazkar M.;Glob Health Res Policy. 2020 Nov 23,5(1):50. doi: 10.1186/s41256-020-00175-y.;Niazkar HR;Glob Health Res Policy;2020;9-12-2020;PMC7680664;;10.1186/s41256-020-00175-y
33988146;Artificial neural network model from a case series of COVID-19 patients: a prognostic analysis;Venturini S, Orso D, Cugini F, Crapis M, Fossati S, Callegari A, Pellis T, Tomasello DC, Tonizzo M, Grembiale A, D'Andrea N, Vetrugno L, Bove T.;Acta Biomed. 2021 May 12,92(2):e2021202. doi: 10.23750/abm.v92i2.11086.;Venturini S;Acta Biomed;2021;14-5-2021;PMC8182608;;10.23750/abm.v92i2.11086
33228409;COVID-19 and the epistemology of epidemiological models at the dawn of AI;Ellison GTH.;Ann Hum Biol. 2020 Sep,47(6):506-513. doi: 10.1080/03014460.2020.1839132.;Ellison GTH;Ann Hum Biol;2020;24-11-2020;;;10.1080/03014460.2020.1839132
32880667;From Other Journals: A Review of Recent Articles in Pediatric Cardiology;Alsaied T, Ashfaq A.;Pediatr Cardiol. 2020 Dec,41(8):1813-1818. doi: 10.1007/s00246-020-02443-7. Epub 2020 Sep 3.;Alsaied T;Pediatr Cardiol;2020;4-9-2020;PMC7471484;;10.1007/s00246-020-02443-7
34492505;Sociodemographic predictors of COVID-19 vaccine acceptance: a nationwide US-based survey study;Mondal P, Sinharoy A, Su L.;Public Health. 2021 Sep,198:252-259. doi: 10.1016/j.puhe.2021.07.028. Epub 2021 Jul 29.;Mondal P;Public Health;2021;7-9-2021;PMC8318686;;10.1016/j.puhe.2021.07.028
33162687;Deep learning-based forecasting model for COVID-19 outbreak in Saudi Arabia;Elsheikh AH, Saba AI, Elaziz MA, Lu S, Shanmugan S, Muthuramalingam T, Kumar R, Mosleh AO, Essa FA, Shehabeldeen TA.;Process Saf Environ Prot. 2021 May,149:223-233. doi: 10.1016/j.psep.2020.10.048. Epub 2020 Nov 1.;Elsheikh AH;Process Saf Environ Prot;2021;9-11-2020;PMC7604086;;10.1016/j.psep.2020.10.048
32839642;Predictions for COVID-19 with deep learning models of LSTM, GRU and Bi-LSTM;Shahid F, Zameer A, Muneeb M.;Chaos Solitons Fractals. 2020 Nov,140:110212. doi: 10.1016/j.chaos.2020.110212. Epub 2020 Aug 19.;Shahid F;Chaos Solitons Fractals;2020;26-8-2020;PMC7437542;;10.1016/j.chaos.2020.110212
33098971;Medicine in motion: Opportunities, challenges and data analytics-based solutions for traditional medicine integration into western medical practice;Jansen C, Baker JD, Kodaira E, Ang L, Bacani AJ, Aldan JT, Shimoda LMN, Salameh M, Small-Howard AL, Stokes AJ, Turner H, Adra CN.;J Ethnopharmacol. 2021 Mar 1,267:113477. doi: 10.1016/j.jep.2020.113477. Epub 2020 Oct 21.;Jansen C;J Ethnopharmacol;2021;25-10-2020;PMC7577282;;10.1016/j.jep.2020.113477
34960517;Wearable Devices, Smartphones, and Interpretable Artificial Intelligence in Combating COVID-19;Hijazi H, Abu Talib M, Hasasneh A, Bou Nassif A, Ahmed N, Nasir Q.;Sensors (Basel). 2021 Dec 17,21(24):8424. doi: 10.3390/s21248424.;Hijazi H;Sensors (Basel);2021;28-12-2021;PMC8709136;;10.3390/s21248424
33530563;Estimating Unreported COVID-19 Cases with a Time-Varying SIR Regression Model;Peng Z, Ao S, Liu L, Bao S, Hu T, Wu H, Wang R.;Int J Environ Res Public Health. 2021 Jan 26,18(3):1090. doi: 10.3390/ijerph18031090.;Peng Z;Int J Environ Res Public Health;2021;3-2-2021;PMC7908085;;10.3390/ijerph18031090
35036527;Comparative analysis of machine learning approaches to analyze and predict the COVID-19 outbreak;Naeem M, Yu J, Aamir M, Khan SA, Adeleye O, Khan Z.;PeerJ Comput Sci. 2021 Dec 16,7:e746. doi: 10.7717/peerj-cs.746. eCollection 2021.;Naeem M;PeerJ Comput Sci;2021;17-1-2022;PMC8725668;;10.7717/peerj-cs.746
33519109;Comparison of deep learning approaches to predict COVID-19 infection;Alakus TB, Turkoglu I.;Chaos Solitons Fractals. 2020 Nov,140:110120. doi: 10.1016/j.chaos.2020.110120. Epub 2020 Jul 11.;Alakus TB;Chaos Solitons Fractals;2020;1-2-2021;PMC7833512;;10.1016/j.chaos.2020.110120
34602084;Deep-learning model for screening sepsis using electrocardiography;Kwon JM, Lee YR, Jung MS, Lee YJ, Jo YY, Kang DY, Lee SY, Cho YH, Shin JH, Ban JH, Kim KH.;Scand J Trauma Resusc Emerg Med. 2021 Oct 3,29(1):145. doi: 10.1186/s13049-021-00953-8.;Kwon JM;Scand J Trauma Resusc Emerg Med;2021;4-10-2021;PMC8487616;;10.1186/s13049-021-00953-8
34671588;Recurrent Neural Network and Reinforcement Learning Model for COVID-19 Prediction;Kumar RL, Khan F, Din S, Band SS, Mosavi A, Ibeke E.;Front Public Health. 2021 Oct 4,9:744100. doi: 10.3389/fpubh.2021.744100. eCollection 2021.;Kumar RL;Front Public Health;2021;21-10-2021;PMC8521000;;10.3389/fpubh.2021.744100
32915654;Every Body Counts: Measuring Mortality From the COVID-19 Pandemic;Kiang MV, Irizarry RA, Buckee CO, Balsari S.;Ann Intern Med. 2020 Dec 15,173(12):1004-1007. doi: 10.7326/M20-3100. Epub 2020 Sep 11.;Kiang MV;Ann Intern Med;2020;11-9-2020;PMC7505023;;10.7326/M20-3100
34334966;Deep learning model for forecasting COVID-19 outbreak in Egypt;Marzouk M, Elshaboury N, Abdel-Latif A, Azab S.;Process Saf Environ Prot. 2021 Sep,153:363-375. doi: 10.1016/j.psep.2021.07.034. Epub 2021 Jul 24.;Marzouk M;Process Saf Environ Prot;2021;2-8-2021;PMC8305306;;10.1016/j.psep.2021.07.034
34764593;Convolutional neural networks and temporal CNNs for COVID-19 forecasting in France;Mohimont L, Chemchem A, Alin F, Krajecki M, Steffenel LA.;Appl Intell (Dordr). 2021 Apr 14:1-26. doi: 10.1007/s10489-021-02359-6. Online ahead of print.;Mohimont L;Appl Intell (Dordr);2021;12-11-2021;PMC8044508;;10.1007/s10489-021-02359-6
33426425;Deep-LSTM ensemble framework to forecast Covid-19: an insight to the global pandemic;Shastri S, Singh K, Kumar S, Kour P, Mansotra V.;Int J Inf Technol. 2021,13(4):1291-1301. doi: 10.1007/s41870-020-00571-0. Epub 2021 Jan 3.;Shastri S;Int J Inf Technol;2021;11-1-2021;PMC7779101;;10.1007/s41870-020-00571-0
35043096;Forecasting Covid-19 Transmission with ARIMA and LSTM Techniques in Morocco;Rguibi MA, Moussa N, Madani A, Aaroud A, Zine-Dine K.;SN Comput Sci. 2022,3(2):133. doi: 10.1007/s42979-022-01019-x. Epub 2022 Jan 14.;Rguibi MA;SN Comput Sci;2022;19-1-2022;PMC8758931;;10.1007/s42979-022-01019-x
32577682;Development and Prospective Validation of a Transparent Deep Learning Algorithm for Predicting Need for Mechanical Ventilation;Shashikumar SP, Wardi G, Paul P, Carlile M, Brenner LN, Hibbert KA, North CM, Mukerji S, Robbins G, Shao YP, Malhotra A, Westover B, Nemati S.;medRxiv. 2020 Jun 3:2020.05.30.20118109. doi: 10.1101/2020.05.30.20118109. Preprint.;Shashikumar SP;medRxiv;2020;25-6-2020;PMC7302288;;10.1101/2020.05.30.20118109
33776192;Combat COVID-19 infodemic using explainable natural language processing models;Ayoub J, Yang XJ, Zhou F.;Inf Process Manag. 2021 Jul,58(4):102569. doi: 10.1016/j.ipm.2021.102569. Epub 2021 Mar 6.;Ayoub J;Inf Process Manag;2021;29-3-2021;PMC7980090;;10.1016/j.ipm.2021.102569
34149245;COVID-19, financing and sales decline of informal sector MSMEs in Senegal;Koloma Y.;Afr Dev Rev. 2021 Apr,33(Suppl 1):S207-S220. doi: 10.1111/1467-8268.12532. Epub 2021 May 5.;Koloma Y;Afr Dev Rev;2021;21-6-2021;PMC8207080;;10.1111/1467-8268.12532
35040601;Digital Healthcare for Airway Diseases from Personal Environmental Exposure;Park Y, Lee C, Jung JY.;Yonsei Med J. 2022 Jan,63(Suppl):S1-S13. doi: 10.3349/ymj.2022.63.S1.;Park Y;Yonsei Med J;2022;18-1-2022;PMC8790581;;10.3349/ymj.2022.63.S1
33936325;A COVID-19 time series forecasting model based on MLP ANN;Borghi PH, Zakordonets O, Teixeira JP.;Procedia Comput Sci. 2021,181:940-947. doi: 10.1016/j.procs.2021.01.250. Epub 2021 Feb 22.;Borghi PH;Procedia Comput Sci;2021;3-5-2021;PMC8076817;;10.1016/j.procs.2021.01.250
33470428;Impact of a long-term air pollution exposure on the case fatality rate of COVID-19 patients-A multicity study;Hou CK, Qin YF, Wang G, Liu QL, Yang XY, Wang H.;J Med Virol. 2021 May,93(5):2938-2946. doi: 10.1002/jmv.26807. Epub 2021 Feb 15.;Hou CK;J Med Virol;2021;20-1-2021;PMC8014152;;10.1002/jmv.26807
34009266;DeepImmuno: deep learning-empowered prediction and generation of immunogenic peptides for T-cell immunity;Li G, Iyer B, Prasath VBS, Ni Y, Salomonis N.;Brief Bioinform. 2021 Nov 5,22(6):bbab160. doi: 10.1093/bib/bbab160.;Li G;Brief Bioinform;2021;19-5-2021;PMC8135853;;10.1093/bib/bbab160
32984242;COVID-19 Mortality Rate Prediction for India Using Statistical Neural Network Models;Dhamodharavadhani S, Rathipriya R, Chatterjee JM.;Front Public Health. 2020 Aug 28,8:441. doi: 10.3389/fpubh.2020.00441. eCollection 2020.;Dhamodharavadhani S;Front Public Health;2020;28-9-2020;PMC7485390;;10.3389/fpubh.2020.00441
34465820;The prediction and analysis of COVID-19 epidemic trend by combining LSTM and Markov method;Ma R, Zheng X, Wang P, Liu H, Zhang C.;Sci Rep. 2021 Aug 31,11(1):17421. doi: 10.1038/s41598-021-97037-5.;Ma R;Sci Rep;2021;1-9-2021;PMC8408143;;10.1038/s41598-021-97037-5
33485917;Mortality Risk Assessment in COVID-19 Venovenous Extracorporeal Membrane Oxygenation;Tabatabai A, Ghneim MH, Kaczorowski DJ, Shah A, Dave S, Haase DJ, Vesselinov R, Deatrick KB, Rabin J, Rabinowitz RP, Galvagno S Jr, O'Connor JV, Menaker J, Herr DL, Gammie JS, Scalea TM, Madathil RJ.;Ann Thorac Surg. 2021 Dec,112(6):1983-1989. doi: 10.1016/j.athoracsur.2020.12.050. Epub 2021 Jan 21.;Tabatabai A;Ann Thorac Surg;2021;24-1-2021;PMC7825896;;10.1016/j.athoracsur.2020.12.050
33967576;Application of Artificial Neural Network for Internal Combustion Engines: A State of the Art Review;Bhatt AN, Shrivastava N.;Arch Comput Methods Eng. 2021 May 3:1-23. doi: 10.1007/s11831-021-09596-5. Online ahead of print.;Bhatt AN;Arch Comput Methods Eng;2021;10-5-2021;PMC8090920;;10.1007/s11831-021-09596-5
33557818;Predicting COVID-19 disease progression and patient outcomes based on temporal deep learning;Sun C, Hong S, Song M, Li H, Wang Z.;BMC Med Inform Decis Mak. 2021 Feb 8,21(1):45. doi: 10.1186/s12911-020-01359-9.;Sun C;BMC Med Inform Decis Mak;2021;9-2-2021;PMC7869774;;10.1186/s12911-020-01359-9
34737382;COVID-19 and the value of safe transport in the United States;Medlock KB 3rd, Temzelides T, Hung SYE.;Sci Rep. 2021 Nov 4,11(1):21707. doi: 10.1038/s41598-021-01202-9.;Medlock KB 3rd;Sci Rep;2021;5-11-2021;PMC8569113;;10.1038/s41598-021-01202-9
34242153;Genetic Risk and Chronic Obstructive Pulmonary Disease Independently Predict the Risk of Incident Severe COVID-19;Huang QM, Zhang PD, Li ZH, Zhou JM, Liu D, Zhang XR, Zhong WF, Zhang YJ, Shen D, Liang F, Song WQ, Yang SG, Guan WJ, Mao C.;Ann Am Thorac Soc. 2022 Jan,19(1):58-65. doi: 10.1513/AnnalsATS.202102-171OC.;Huang QM;Ann Am Thorac Soc;2022;9-7-2021;PMC8787794;;10.1513/AnnalsATS.202102-171OC
34601140;A novel deep interval type-2 fuzzy LSTM (DIT2FLSTM) model applied to COVID-19 pandemic time-series prediction;Safari A, Hosseini R, Mazinani M.;J Biomed Inform. 2021 Nov,123:103920. doi: 10.1016/j.jbi.2021.103920. Epub 2021 Sep 30.;Safari A;J Biomed Inform;2021;3-10-2021;PMC8482548;;10.1016/j.jbi.2021.103920
34567236;Multilayer perceptron neural network model development for mechanical ventilator parameters prediction by real time system learning;Radhakrishnan S, Nair SG, Isaac J.;Biomed Signal Process Control. 2022 Jan,71:103170. doi: 10.1016/j.bspc.2021.103170. Epub 2021 Sep 20.;Radhakrishnan S;Biomed Signal Process Control;2022;27-9-2021;PMC8450520;;10.1016/j.bspc.2021.103170
34291025;Exploring Feasibility of Multivariate Deep Learning Models in Predicting COVID-19 Epidemic;Chen S, Paul R, Janies D, Murphy K, Feng T, Thill JC.;Front Public Health. 2021 Jul 5,9:661615. doi: 10.3389/fpubh.2021.661615. eCollection 2021.;Chen S;Front Public Health;2021;22-7-2021;PMC8287417;;10.3389/fpubh.2021.661615
34764577;Intelligent system for COVID-19 prognosis: a state-of-the-art survey;Nayak J, Naik B, Dinesh P, Vakula K, Rao BK, Ding W, Pelusi D.;Appl Intell (Dordr). 2021,51(5):2908-2938. doi: 10.1007/s10489-020-02102-7. Epub 2021 Jan 6.;Nayak J;Appl Intell (Dordr);2021;12-11-2021;PMC7786871;;10.1007/s10489-020-02102-7
33578223;Climate change and epilepsy: Insights from clinical and basic science studies;Gulcebi MI, Bartolini E, Lee O, Lisgaras CP, Onat F, Mifsud J, Striano P, Vezzani A, Hildebrand MS, Jimenez-Jimenez D, Junck L, Lewis-Smith D, Scheffer IE, Thijs RD, Zuberi SM, Blenkinsop S, Fowler HJ, Foley A, Epilepsy Climate Change Consortium, Sisodiya SM.;Epilepsy Behav. 2021 Mar,116:107791. doi: 10.1016/j.yebeh.2021.107791. Epub 2021 Feb 10.;Gulcebi MI;Epilepsy Behav;2021;12-2-2021;;;10.1016/j.yebeh.2021.107791
34815733;India perspective: CNN-LSTM hybrid deep learning model-based COVID-19 prediction and current status of medical resource availability;Ketu S, Mishra PK.;Soft comput. 2021 Nov 19:1-20. doi: 10.1007/s00500-021-06490-x. Online ahead of print.;Ketu S;Soft comput;2021;24-11-2021;PMC8603002;;10.1007/s00500-021-06490-x
32836717;Forecasting and planning during a pandemic: COVID-19 growth rates, supply chain disruptions, and governmental decisions;Nikolopoulos K, Punia S, Schäfers A, Tsinopoulos C, Vasilakis C.;Eur J Oper Res. 2021 Apr 1,290(1):99-115. doi: 10.1016/j.ejor.2020.08.001. Epub 2020 Aug 8.;Nikolopoulos K;Eur J Oper Res;2021;25-8-2020;PMC7413852;;10.1016/j.ejor.2020.08.001
