Reference Type;Reference Id;Authors, Primary;Title Primary;Periodical Full;Periodical Abbrev;Pub Year;Pub Month & Day;Pub Date Free From;Volume;Issue;Start Page;Other Pages;Keywords;Abstract;Notes;Personal Notes;Authors, Secondary;Title Secondary;Edition;Publisher;Place Of Publication;Authors, Tertiary;Authors, Quaternary;Authors, Quinary;Title, Tertiary;ISSN/ISBN;Availability;Author/Address;Accession Number;Output Language;Language;Classification;Sub file/Database;Original Foreign Title;Links;URL;DOI;PMID;PMCID;Call Number;Database;Data Source;Identifying Phrase;Retrieved Date;Shortened Title;User 1;User 2;User 3;User 4;User 5;User 6;User 7;User 8;User 9;User 10;User 11;User 12;User 13;User 14;User 15
Journal Article;RefID:1063-tut2020importance;Tut Haklıdır,Füsun S.;The importance of long-term well management in geothermal power systems using fuzzy control: A Western Anatolia (Turkey) case study;Energy;;2020;;15-dec-20;213;;118817;;;Effective geothermal power generation depends on two main elements: geothermal reservoir management and maintenance of the power plant. Reservoir management consists of both the fluid production and reinjection of brine to the underground. The management of wells is important to ensure the sustainability of the reservoir. Thus, the flow rate control systems are essential to protect geothermal reservoirs under long-term power production. The second issue is the daily change in electricity prices and the load change process is complex because geothermal well controls are not flexible operations. The well management thus requires control approaches, and fuzzy control can be one effective solution. In this study, a fuzzy control system has been developed to control flow rates of the wells in Kızıldere geothermal field and its performance has been compared with the real data taken from the Kızıldere Power Plant. The results of comparison show that the fuzzy controllers achieved the target energy production in 2 h instead of 5 h, compared to the real data. Based on the real data, the reinjection was only able to stabilize at the end of the fourth hour and the process took only 2 h when using the fuzzy controllers.;ID: 271090;;;;;;;;;;;0360-5442;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0360544220319241;https://www.sciencedirect.com/science/article/pii/S0360544220319241;https://doi.org/10.1016/j.energy.2020.118817;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1062-pietrych2021solving;"Pietrych,Lukasz;Sandubete,Julio E.;Escot,Lorenzo";Solving the chaos model-data paradox in the cryptocurrency market;Communications in Nonlinear Science and Numerical Simulation;;2021;;nov-21;102;;105901;;;In this paper we test for nonlinearity and chaos in some cryptocurrencies returns and volatility. Financial markets are characterized by the so-called chaos model-data paradox, that is, it is relatively easy to design theoretical dynamic financial models that behave chaotically, but it is hard to find robust evidence of this kind of chaotic behaviour in real dataset. In fact, this paradox has been taken as an evidence that support the Efficient Market Hypothesis (EMH). In this paper we apply new robust computational methods based on statistical procedures to reconstruct the underlying attractor and to estimate the Lyapunov exponents based on the Jacobian neural nets. We have tested nonlinearity and chaos in some digital cryptocurrencies (Bitcoin, Ethereum, Ripple and Litecoin). The results show strong evidence against EMH supporting the hypothesis that those time series come from an underlying unknown generating process that behave nonlinear and chaotically. This fact points out that a potential explication to the chaos model-data paradox lies in the methods traditionally used in the literature which are not robust and do not have the capability to find chaos in financial time-series data.;ID: 272639;;;;;;;;;;;1007-5704;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1007570421002136;https://www.sciencedirect.com/science/article/pii/S1007570421002136;https://doi.org/10.1016/j.cnsns.2021.105901;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1061-pullinger2022domestic;"Pullinger,Martin;Berliner,Niklas;Goddard,Nigel;Shipworth,David";Domestic heating behaviour and room temperatures: Empirical evidence from Scottish homes;Energy and Buildings;Energy Build.;2022;;1 January 2022;254;;111509;;;In this paper, we describe patterns of residential heating based on data from 255 homes in and around Edinburgh, Scotland, UK, spanning August 2016 to June 2018. We describe: (i) the room temperatures achieved, (ii) the diurnal durations of heating use, and (iii) common diurnal patterns of heating behaviour. We investigate how these factors vary between weekdays and weekends, over the course of the year, by external temperature, and by room type. We compare these empirical findings with the simplifying assumptions about heating patterns found in the UK’s Standard Assessment Procedure (SAP), a widely-used building energy performance model. There are areas of concurrence and others of substantial difference with these model assumptions. Indoor achieved temperatures are substantially lower than SAP assumptions. The duration and timings of heating use vary substantially between homes and along lines of season and outdoor temperature, whereas the SAP model assumes no such variation. Little variation is found along the lines of weekday vs. weekend, whereas the SAP model assumes differences, or between living space and other rooms, consistent with the SAP. The results are relevant for those interested in how SAP assumptions regarding household heating behaviours and achieved indoor temperatures concur with empirical data.;ID: 271089;;;;;;;;;;;0378-7788;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0378778821007933;https://www.sciencedirect.com/science/article/pii/S0378778821007933;https://doi.org/10.1016/j.enbuild.2021.111509;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1060-apiratikul2021improved;"Apiratikul,Ronbanchob;Chu,Khim Hoong";Improved fixed bed models for correlating asymmetric adsorption breakthrough curves;Journal of Water Process Engineering;;2021;;apr-21;40;;101810;;;Breakthrough curves of water contaminants are usually analyzed using simple fixed bed models such as the Bohart-Adams, Thomas, and Yoon-Nelson equations, which are by design symmetric. Because breakthrough data often follow an asymmetric pattern, the use of models that do not account for asymmetry could lead to poor fits, consequently resulting in erroneous estimates of breakthrough and exhaustion times. To address this issue, the Bohart-Adams, Thomas, and Yoon-Nelson models were modified by a logarithmic transformation to enhance their data fitting ability. The three modified models were found capable of providing robust fits to seven separate sets of previously reported asymmetric breakthrough data of water contaminants (fluoride, methylene blue, salicylic acid, lead, mercury, nickel, and arsenic), with reported residual root mean square error (RRMSE) values ranging from 0.019 to 0.046. In consequence, the new models were found capable of providing reliable estimates of breakthrough and exhaustion times corresponding to any predetermined concentration level. By contrast, the three original models were found to perform poorly, reporting inferior RRMSE values ranging from 0.038 to 0.086 for data fits and providing grossly inaccurate estimates of breakthrough and exhaustion times. The new models contain only parameters that appear in the original models, and are highly flexible, being able to assume virtually all monotonically increasing sigmoid shapes. They represent a far more accurate alternative to the original models.;ID: 305753;;;;;;;;;;;2214-7144;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2214714420306875;https://www.sciencedirect.com/science/article/pii/S2214714420306875;https://doi.org/10.1016/j.jwpe.2020.101810;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1059-guo2022review;"Guo,Min;Xia,Mingchao;Chen,Qifang";A review of regional energy internet in smart city from the perspective of energy community;Energy Reports;;2022;;nov-22;8;;161;182;;Energy internet(EI) has developed from concept and theoretical framework to practical operation, attracting more and more attention. The application of complex network analysis(CNA) in EI research is conducive to realizing more secure, economic and sustainable distributed renewable energy supply and utilization in cities, and to realizing energy conservation, emission reduction and energy efficiency improvement in low-carbon cities. Based on the development history of EI, this paper introduces regional energy internet(REI) from two aspects of research scope and main characteristics. At the same time, based on reviewing the graph theory(GT) and CNA’s application in energy-related domain, it summarizes the particularity of coupling interconnection between transportation network and social network in REI. The concept of energy self-organization(ESO) and energy community(EC) is introduced based on self-organization theory, meanwhile, the differences and advantages between ESO and previous similar concepts are summarized and compared. On this basis, the key issues of REI are analyzed from the perspective of ECs, including complex network topology modeling, optimal network flow allocation, coordination and complementary control, cascade failure mechanism(the scale of different failures can be enlarged through interdependence) analysis and multi-agent interest interaction game. Meanwhile, main research challenges are summarized and the future work is prospected. Finally, the paper conclude the work and deficiencies—it provides a theoretical basis for realizing a city’s collaborative optimization, independent autonomy and efficient low-carbon operation, and improves the application of CNA in urban REI research.;ID: 311225;;;;;;;;;;;2352-4847;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2352484721014335;https://www.sciencedirect.com/science/article/pii/S2352484721014335;https://doi.org/10.1016/j.egyr.2021.11.286;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1058-pereira2022modal;"Pereira,A.;Jacob,Marc C.";Modal analysis of in-duct fan broadband noise via an iterative Bayesian inverse approach;Journal of Sound and Vibration;J.Sound Vibrat.;2022;;3 March 2022;520;;116633;;;An advanced duct microphone array analysis based on a user friendly iterative Bayesian Inverse Approach (iBIA) has been successfully applied to assess the modal content and the Sound Power Level of fan/outlet guide vanes (OGV) broadband noise. It is shown that iBIA provides considerable reduction of artefacts associated to array sidelobes leading to an improved dynamic range in the reconstructed mode distribution plots. The method also benefits from a data-dependent and fully automated regularisation procedure. Moreover, it allows to control the sparsity degree of the reconstructed modal content: thus different sparsity levels can be tailored for specific noise components, such as fan tones or broadband mode components. It also applies directly to the cross-spectral matrix of measurements, thus advantage can be taken of averaging the data over several snapshots whenever the assumption of stationarity and ergodicity holds. These features facilitate its application to industrially relevant configurations such as the UFFA fan test rig that was operated by AneCom AeroTest in order to deliver reference data for broadband noise modelling in the frame of the European Project TurboNoiseBB. The iBIA has been applied to perform a full azimuthal and radial mode detection as well as axial-wavenumber and azimuthal decompositions. Two configurations of fan/OGV-spacing along two working lines have been tested. The radiated noise has been measured by in-duct microphone arrays located at the intake and downstream of the fan module. Longer rotor–stator gaps are shown to reduce high frequency levels at approach conditions for both inlet and exhaust noise over a large frequency range. The benefit of long gaps tends to vanish for higher fan speeds and even leads to noise increase at high frequencies. Duct sound power estimates obtained from a full azimuthal and radial decomposition have been compared to estimates from both the wavenumber and the azimuthal decompositions, the latter two requiring further assumptions regarding the modal energy distribution. Based on this approach, the widely used equal energy per mode and equal energy density per mode assumptions have thus been evaluated on a large industrially relevant experimental data set.;ID: 272606;;;;;;;;;;;0022-460X;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0022460X21006416;https://www.sciencedirect.com/science/article/pii/S0022460X21006416;https://doi.org/10.1016/j.jsv.2021.116633;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1057-ganesh2021investigation;"Ganesh,Ghogare Abhijeet;Sinha,Shobha Lata;Verma,Tikendra Nath;Dewangan,Satish Kumar";Investigation of indoor environment quality and factors affecting human comfort: A critical review;Building and Environment;Build.Environ.;2021;;15 October 2021;204;;108146;;;This article reviews the literature on the Indoor Environment Quality of a built environment. Thermal comfort is a complex concern and the methods studied so far are only approximate. The first part of this review deals with the general description of the topic. This was followed by the classification of the literature published in the last fifty years based on the year of publication, methodologies adopted and comfort parameters studied. The main focus remained on a notable number of articles from recent years. In the following sections, the different factors responsible for the IEQ and its effects on the well-being and thermal comfort of the occupants are discussed. The next part deals with the evaluation of thermal comfort using various models and indices of thermal comfort described by the various literature. A range of IEQ-related issues, such as sick body syndrome, cold drafts, hot, and cold radiation are discussed. This study reviews the literature that signifies the importance of IEQ and factors that affect human thermal comfort. It documents how physical, psychological, personal, and environmental factors affect human thermal comfort, and efforts have been made to simplify a rather complex relationship between comfort parameters, occupant well-being, and IEQ. The study would be useful for designers, engineers, and researchers undertaking studies in this area.;ID: 271434;;;;;;;;;;;0360-1323;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0360132321005473;https://www.sciencedirect.com/science/article/pii/S0360132321005473;https://doi.org/10.1016/j.buildenv.2021.108146;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1056-ozonder2021longitudinal;"Ozonder,Gozde;Miller,Eric J.";Longitudinal investigation of skeletal activity episode timing decisions – A copula approach;Journal of Choice Modelling;;2021;;sep-21;40;;100306;;;This study proposes a joint modelling approach to simulate episode timing decisions of skeletal activities -- activities that typically take precedence in the scheduling process -- using copulas. The analyses focus on examining the correlation between activity start time and duration while exploring the timing behaviour over a 20-year period between 1996 and 2016 in the Greater Toronto and Hamilton Area. For three types of agent classes (“Worker”, “Student”, “Both”), timing decisions associated with three skeletal activities are investigated: “Work”, “Work Business” and “School”. To obtain mutually exclusive homogeneous subsamples, further segmentation of agents is undertaken considering employment and/or student status, and occupation of the individuals. Parametric models are fitted independently to marginal start time and duration distributions using finite mixture models before estimating copula models for their joint distributions. In the “Worker” class, considerable stability is observed in “Work” activity timing models in all occupation sectors for full-time out-of-home employees, except for the “retail sales/service” sector. “Student” class agents’ “School” timing behaviour is also found to be stable in general for full-time students. More noise is observed in the timing behaviour of “Both” class agents. Given the correlation levels observed, it is concluded that start time and duration variables should be modelled jointly, not independently, within an agent-based, activity-based travel demand modelling framework. This paper demonstrates that it is possible to capture complex behaviour in timing decisions through parsimonious models that only utilize a small number of parameters and recommends exploiting behavioural information accrued over time while developing models.;ID: 286731;;;;;;;;;;;1755-5345;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1755534521000397;https://www.sciencedirect.com/science/article/pii/S1755534521000397;https://doi.org/10.1016/j.jocm.2021.100306;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1055-ablat2020experimental;"Ablat,Muhammad Ali;Qattawi,Ala;Jaman,Md Shah;Alafaghani,Ala’aldin;Yau,Curtis;Soshi,Masakazu;Sun,Jian-Qiao";An experimental and analytical model for force prediction in sheet metal forming process using perforated sheet and origami principles;Procedia Manufacturing;;2020;;2020;48;;407;418;;In this work, we present a model for origami-based sheet metal (OSM) folding that can predict the required bending force. OSM folding is enabled by introducing bending features along the bending line, named material discontinuity (MD). Firstly, the introduced analysis in this work developed a bending setup for OSM that does not require a die then introduced a method to analytically derive the bending force for a regular sheet without any added folding features. The analytical approach is followed using an experimental setup identical to the developed OSM bending configuration. Secondly, the OSM bending experiment is conducted to measure the required bending force and to identify which parameters influence the OSM bending force significantly. Finally, an empirical model is proposed considering the analytical force in the first step and the influencing parameters defined in the second step. Regression analysis is carried out using one portion of experimental force measurement to determine the coefficients of the proposed empirical model. The other measurement set is used to validate the prediction model. The validation results of the proposed prediction model show good agreement between the developed prediction model and the experiment results. The prediction model provided a shape factor that represents the topology of each bending feature, as well.;ID: 306234;;;;;;;;;;;2351-9789;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2351978920315158;https://www.sciencedirect.com/science/article/pii/S2351978920315158;https://doi.org/10.1016/j.promfg.2020.05.063;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:1054-rafiq2020impacts;"Rafiq,Muhammad;Shafique,Muhammad;Azam,Anam;Ateeq,Muhammad";The impacts of nanotechnology on the improvement of liquid insulation of transformers: Emerging trends and challenges;Journal of Molecular Liquids;;2020;;15 March 2020;302;;112482;;;The rise in transmission voltages levels, the demand for insulating reliability of the transformer is getting more and more critical. The mineral oil (MO) together with paper is the main insulation constituents in oil-immersed transformers. To enhance the insulation level of ultra-high voltage (UHV) transformers and to decrease its weight and size, it is highly required to increase the insulating conduct of transformer oil (TO) and oil-impregnated cellulose. Lately, a distinctive novel venture of application of nanotechnology with liquid insulation of transformer has been conducted and the results have displayed marvelous enhancement in the insulation properties of transformer oil. The transformer oil-based nanofluids research domain (i.e., NFs) has been attracting huge attention during recent years both in theoretical and practical fields. NFs may be applied as a potential substitute for MO in the near future. To recognize various brunts of NFs and show evolving developments and challenges, the study demonstrates a scientometric review established on 210 published features from 2004 to 2019 through co-author, co-occurring and co-citation investigations. The significance of the editorial lies in compiling former inquiries, categorizing research nature, motivations and forecasting impending research orientations. Lastly, some recommendations for future NFs research and application are suggested.;ID: 271359;;;;;;;;;;;0167-7322;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0167732219359537;https://www.sciencedirect.com/science/article/pii/S0167732219359537;https://doi.org/10.1016/j.molliq.2020.112482;;;;;;;;;;;;;;;;;;;;;;;
